Project,"num_JS,51LGVZTD","size_JS,51LGVZTD_MB",num_JS,size_JS_MB,"num_CSS,31K0JC","size_CSS,31K0JC_MB",num_COM”,size_COM”_MB,"num_JS,11RRJDLDAV","size_JS,11RRJDLDAV_MB",num_CSV,size_CSV_MB,num_EOT,size_EOT_MB,num_Z,size_Z_MB,num_WOFF2,size_WOFF2_MB,num_ICO,size_ICO_MB,num_JSON,size_JSON_MB,num_ZIP,size_ZIP_MB,num_BAT,size_BAT_MB,"num_CSS,01R","size_CSS,01R_MB",num_PNG1653931470,size_PNG1653931470_MB,num_MP4,size_MP4_MB,num_JFIF,size_JFIF_MB,"num_CSS,0","size_CSS,0_MB",num_JPG,size_JPG_MB,num_WOFF,size_WOFF_MB,"num_CSS,31K0","size_CSS,31K0_MB",num_NO EXT,size_NO EXT_MB,num_WEBP,size_WEBP_MB,num_COMÂ,size_COMÂ_MB,num_COMÏ¿½Ï¿½,size_COMÏ¿½Ï¿½_MB,num_LOG,size_LOG_MB,num_APK,size_APK_MB,"num_CSS,01K","size_CSS,01K_MB",num_SVG,size_SVG_MB,num_GIF,size_GIF_MB,num_CUR,size_CUR_MB,num_PNG1701977738,size_PNG1701977738_MB,num_LOCK,size_LOCK_MB,num_AVIF,size_AVIF_MB,num_XML,size_XML_MB,num_PNG1723988117,size_PNG1723988117_MB,num_WEBMANIFEST,size_WEBMANIFEST_MB,num_CS,size_CS_MB,num_SWF,size_SWF_MB,"num_JS,11RRJDLDAVL","size_JS,11RRJDLDAVL_MB",num_PHP,size_PHP_MB,num_INI,size_INI_MB,num_PDF,size_PDF_MB,num_CSS,size_CSS_MB,num_TXT,size_TXT_MB,num_PNG,size_PNG_MB,num_README,size_README_MB,num_TTF,size_TTF_MB,num_OWL,size_OWL_MB,num_LST,size_LST_MB,num_HTML,size_HTML_MB,num_PY,size_PY_MB,num_OTF,size_OTF_MB,num_PNG1701977736,size_PNG1701977736_MB,Total Mirrors,Empty Mirrors,Empty Mirrors,Success Percentage,,,,Project,Total Mirrors,Empty Mirrors,Success Percentage
24/06/2025,0,0,2754,559.52,0,0,8,0,0,0,0,0,392,43.08,0,0,256,12.19,5,0.21,127,1.46,0,0,0,0,0,0,2,0.1,12,194.33,12,0.81,0,0,607,138.53,353,21.79,0,0,123,0.44,77,3.44,1,0,0,0,0,0,0,0,0,0,905,87.92,110,17.84,7,0,1,0,0,0,3,0.08,1,0,0,0,2,0,0,0,0,0,0,0,10,0.1,0,0,9,12.13,1220,87.34,2,0.65,1573,120.22,36,0.01,415,38.04,0,0,0,0,7650,397.79,1,0.06,1,0.02,1,0.02,800,583,583,27.12%,,,,24/06/2025,800,583,27.12%
23/06/2025,0,0,3017,574.63,0,0,9,0,0,0,0,0,508,69.14,0,0,295,16.65,13,0.23,124,1.45,0,0,0,0,0,0,2,0.1,13,198.08,23,0.97,0,0,994,450.45,417,30.88,0,0,121,0.46,88,4.28,1,0,0,0,0,0,0,0,0,0,903,110.67,108,17.84,7,0,1,0,0,0,3,0.08,1,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,9,12.13,1291,93.11,2,0.69,2023,149.07,30,0.01,470,48.74,0,0,0,0,7698,396.17,1,0.06,1,0.02,1,0.02,800,576,576,28.00%,,,,23/06/2025,800,576,28.00%
26/06/2025,0,0,2771,560.03,0,0,8,0,0,0,0,0,396,43.52,1,0.02,259,12.37,5,0.21,126,1.46,0,0,0,0,0,0,2,0.1,12,194.33,12,0.81,0,0,638,145.75,356,21.96,0,0,124,0.45,77,3.44,1,0,0,0,0,0,0,0,0,0,908,88.68,110,17.84,7,0,1,0,0,0,3,0.08,1,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,9,12.13,1233,88.04,2,0.65,1584,122.22,37,0.01,421,38.83,0,0,0,0,7769,401.23,1,0.06,1,0.02,1,0.02,803,590,590,26.53%,,,,26/06/2025,803,590,26.53%
27/06/2025,0,0,2768,559.85,0,0,7,0,0,0,0,0,396,43.52,0,0,256,12.19,5,0.21,127,1.46,0,0,0,0,0,0,2,0.1,12,194.33,12,0.81,0,0,638,146.48,356,21.96,0,0,124,0.46,77,3.44,1,0,0,0,0,0,0,0,0,0,908,88.68,110,17.84,7,0,1,0,0,0,3,0.08,1,0,0,0,2,0,0,0,0,0,0,0,9,0.06,0,0,9,12.13,1234,87.95,2,0.65,1585,123.94,37,0.01,418,38.39,0,0,0,0,7773,400.41,1,0.06,1,0.02,1,0.02,803,585,585,27.15%,,,,27/06/2025,803,585,27.15%
28/06/2025,0,0,2816,561.43,0,0,8,0,0,0,0,0,418,45.72,0,0,270,12.93,5,0.21,127,1.46,0,0,0,0,0,0,2,0.1,12,194.33,12,0.81,0,0,671,149.12,368,22.68,0,0,122,0.44,77,3.44,1,0,0,0,0,0,0,0,0,0,918,92.02,112,22.44,7,0,1,0,0,0,3,0.08,1,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,9,12.13,1267,90.15,2,0.65,1668,128.39,38,0.01,432,39.99,0,0,0,0,7764,398.11,1,0.06,1,0.02,1,0.02,809,603,603,25.46%,,,,28/06/2025,809,603,25.46%
29/06/2025,0,0,1018,64.66,0,0,6,0,0,0,0,0,421,45.44,0,0,248,13.08,5,0.21,194,2.1,0,0,0,0,0,0,0,0,12,194.33,12,0.81,0,0,617,140.17,287,20.93,0,0,100,0.53,77,3.44,1,0,0,0,0,0,0,0,0,0,906,93.99,58,6.21,7,0,1,0,0,0,3,0.08,1,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,9,12.13,964,56.25,2,0.64,1471,96.03,32,0.01,301,35.93,0,0,0,0,7928,394.85,1,0.06,1,0.02,1,0.02,807,619,619,23.30%,,,,29/06/2025,807,619,23.30%
30/06/2025,0,0,2781,560.57,0,0,8,0,0,0,0,0,408,45.03,0,0,262,12.54,5,0.21,127,1.46,0,0,0,0,0,0,2,0.1,12,194.33,12,0.81,0,0,643,146.99,362,22.39,0,0,123,0.47,77,3.44,1,0,0,0,0,0,1,28.9,0,0,911,91.93,110,17.84,7,0,1,0,0,0,3,0.08,1,0,0,0,2,0,0,0,0,0,0,0,9,0.03,0,0,9,12.13,1242,88.41,2,0.65,1601,124.48,37,0.01,424,39.14,0,0,0,0,7746,397.08,1,0.06,1,0.02,0,0,806,595,595,26.18%,,,,30/06/2025,806,595,26.18%
1/07/2025,0,0,2563,500.21,0,0,8,0,0,0,0,0,408,45.03,0,0,261,12.67,5,0.21,125,1.46,0,0,0,0,0,0,2,0.1,12,194.33,12,0.81,0,0,644,148.17,353,22.2,0,0,125,0.44,77,3.44,1,0,0,0,0,0,1,28.9,0,0,914,92.28,104,17.63,7,0,1,0,0,0,3,0.08,1,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,9,12.13,1198,84.27,2,0.66,1575,121.09,37,0.01,412,38.97,0,0,0,0,7790,398.59,1,0.06,1,0.02,1,0.02,806,595,595,26.18%,,,,1/07/2025,806,595,26.18%
2/07/2025,0,0,2502,496.5,0,0,7,0,0,0,0,0,330,36.99,0,0,200,9.74,5,0.21,125,1.46,0,0,0,0,0,0,2,0.1,12,194.33,12,0.81,0,0,607,144.61,300,17.8,0,0,120,0.44,77,3.44,0,0,0,0,0,0,0,0,0,0,848,72.85,100,17.62,7,0,1,0,1,0.02,3,0.08,1,0,0,0,1,0,0,0,0,0,0,0,8,0.1,0,0,9,12.13,1104,77.11,1,0.57,1453,117.16,25,0.01,358,32.7,0,0,0,0,4209,212.86,1,0.06,1,0.02,1,0.02,802,597,597,25.56%,,,,2/07/2025,802,597,25.56%
3/07/2025,0,0,2478,495.21,0,0,8,0,0,0,0,0,370,38.81,11,0.23,198,9.97,5,0.21,127,1.46,0,0,0,0,0,0,2,0.1,12,194.33,12,0.81,0,0,590,141.64,324,19.43,0,0,123,0.44,77,3.44,0,0,0,0,0,0,0,0,0,0,871,80.74,104,17.63,7,0,1,0,0,0,3,0.08,1,0,0,0,1,0,0,0,0,0,0,0,8,0.01,0,0,9,12.13,1118,78.97,2,0.64,1389,114.03,37,0.01,375,32.68,0,0,0,0,7709,402.74,1,0.06,1,0.02,1,0.02,803,597,597,25.65%,,,,3/07/2025,803,597,25.65%
4/07/2025,0,0,2291,480.07,0,0,8,0,0,0,0,0,296,32.73,0,0,189,8.7,4,0.2,104,1.37,0,0,0,0,0,0,2,0.1,12,194.33,12,0.81,0,0,481,122.6,274,16.73,0,0,113,0.42,77,3.44,0,0,0,0,0,0,0,0,0,0,299,61.41,88,17.52,5,0,1,0,0,0,3,0.08,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,7,10.98,934,70.21,2,0.61,1119,101.67,37,0.01,330,29.13,0,0,0,0,7497,394.77,1,0.06,1,0.02,1,0.02,802,616,616,23.19%,,,,4/07/2025,802,616,23.19%
5/07/2025,0,0,2437,487.08,0,0,8,0,0,0,0,0,370,39.35,0,0,215,10.4,5,0.21,109,1.15,0,0,0,0,0,0,2,0.1,14,201.77,12,0.81,0,0,593,143.02,321,19.5,0,0,114,0.42,77,3.44,0,0,0,0,0,0,0,0,0,0,872,80.61,104,20.31,4,0,1,0,0,0,3,0.08,1,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,11,20.84,1093,72.35,2,0.64,1397,114.64,37,0.01,370,32.76,0,0,0,0,7710,399.86,1,0.06,5,0.23,1,0.02,807,603,603,25.28%,,,,5/07/2025,807,603,25.28%
6/07/2025,0,0,2438,487.08,0,0,8,0,0,0,0,0,365,37.27,0,0,213,9.99,5,0.21,108,1.14,0,0,0,0,0,0,2,0.1,14,201.77,12,0.81,0,0,595,143.16,319,18.89,0,0,115,0.43,77,3.44,0,0,0,0,0,0,0,0,0,0,871,80.02,104,20.31,4,0,1,0,0,0,3,0.08,1,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,11,20.84,1113,73.59,2,0.64,1398,114.71,37,0.01,368,31.71,0,0,0,0,7750,401.51,1,0.06,5,0.23,1,0.02,807,590,590,26.89%,,,,6/07/2025,807,590,26.89%
7/07/2025,0,0,2441,487.08,0,0,8,0,0,0,0,0,370,39.35,0,0,215,10.4,5,0.21,109,1.15,0,0,0,0,0,0,2,0.1,14,201.77,12,0.81,0,0,591,142.33,322,19.5,0,0,115,0.68,77,3.44,0,0,0,0,0,0,0,0,0,0,873,80.63,104,20.31,4,0,1,0,0,0,3,0.08,1,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,11,20.84,1099,73.07,2,0.63,1399,114.87,37,0.01,370,32.76,0,0,0,0,7750,401.07,1,0.06,5,0.23,1,0.02,807,588,588,27.14%,,,,7/07/2025,807,588,27.14%
8/07/2025,0,0,2456,487.88,0,0,8,0,0,0,0,0,376,39.87,0,0,215,10.45,7,0.21,109,1.15,0,0,0,0,0,0,2,0.1,14,201.77,12,0.81,0,0,599,142.58,324,19.63,0,0,114,0.42,77,3.44,0,0,0,0,0,0,0,0,0,0,877,81.48,105,20.51,4,0,1,0,0,0,3,0.08,1,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,11,20.84,1127,74.11,2,0.65,1410,115.4,37,0.01,373,33.02,0,0,0,0,7798,401.12,1,0.06,5,0.23,1,0.02,810,589,589,27.28%,,,,8/07/2025,810,589,27.28%
9/07/2025,0,0,2432,486.58,0,0,8,0,0,0,0,0,332,35.95,0,0,197,9.5,6,0.2,108,1.14,0,0,0,0,0,0,2,0.1,14,201.77,12,0.81,0,0,570,142.06,297,18,0,0,114,0.42,77,3.44,0,0,0,0,0,0,0,0,0,0,845,72.49,103,20.49,4,0,1,0,0,0,3,0.08,1,0,0,0,2,0,0,0,0,0,0,0,7,0.02,0,0,11,20.84,1105,70.78,2,0.65,1382,114.28,37,0.01,346,30.46,0,0,0,0,7831,404.68,1,0.06,5,0.23,1,0.02,809,588,588,27.32%,,,,9/07/2025,809,588,27.32%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average,,,29.89%
