JS File,Size (KB),Minified,Contains Risky Pattern
14_06_2025\aspirebitwealth.com\account\en\assets\js\bootstrap.bundle.min.js,76.30,True,True
14_06_2025\aspirebitwealth.com\account\en\assets\js\countdown.js,1.50,False,True
14_06_2025\aspirebitwealth.com\account\en\assets\js\isotope.pkgd.min.js,34.61,True,True
14_06_2025\aspirebitwealth.com\account\en\assets\js\jquery-3.6.0.min.js,87.40,True,True
14_06_2025\aspirebitwealth.com\account\en\assets\js\jquery.magnific-popup.min.js,19.74,True,True
14_06_2025\aspirebitwealth.com\account\en\assets\js\slick.js,41.86,True,True
14_06_2025\aspirebitwealth.com\account\en\assets\js\swiper-bundle.min.js,139.35,True,True
14_06_2025\aspirebitwealth.com\account\en\assets\js\wow.min.js,7.96,True,True
14_06_2025\aspirebitwealth.com\account\en\assets\js\menu\menu.js,2.47,False,True
14_06_2025\aspirebitwealth.com\account\public\assets\js\app.js,9.60,True,True
14_06_2025\aspirebitwealth.com\account\public\assets\js\bundle.js,659.44,True,True
14_06_2025\aspirebitwealth.com\assets\js\bootstrap.min.js,61.98,True,True
14_06_2025\aspirebitwealth.com\assets\js\demo.js,3.81,False,False
14_06_2025\aspirebitwealth.com\assets\js\jquery-3.5.1.min.js,87.38,True,True
14_06_2025\aspirebitwealth.com\assets\js\jquery.inputmask-multi.js,6.31,True,True
14_06_2025\aspirebitwealth.com\assets\js\jquery.inputmask.js,69.67,True,True
14_06_2025\aspirebitwealth.com\assets\js\mask-tel.js,59.46,False,False
14_06_2025\aspirebitwealth.com\assets\js\popper.min.js,20.74,True,True
14_06_2025\aspirebitwealth.com\assets\plugins\bootstrap-select\dist\js\bootstrap-select.min.js,51.02,True,True
14_06_2025\aspirebitwealth.com\assets\plugins\owl-carousel\dist\owl.carousel.min.js,43.30,True,True
14_06_2025\aspirebitwealth.com\assets\plugins\sweetalert2\dist\sweetalert2.min.js,35.77,True,True
14_06_2025\aspirebitwealth.com\cdn-cgi\scripts\5c5dd728\cloudflare-static\email-decode.min.js,1.21,True,False
14_06_2025\aspirebitwealth.com\external-embedding\embed-widget-ticker-tape.js,13.34,True,False
14_06_2025\astridglobalinvestment.com\account\temp\js\app.js,3.20,False,False
14_06_2025\astridglobalinvestment.com\account\temp\js\bootstrap.bundle.min.js,82.19,True,True
14_06_2025\astridglobalinvestment.com\account\temp\js\feather.min.js,74.01,True,True
14_06_2025\astridglobalinvestment.com\account\temp\js\jquery-3.5.1.min.js,87.38,True,True
14_06_2025\astridglobalinvestment.com\account\temp\js\owl.carousel.min.js,43.31,True,True
14_06_2025\astridglobalinvestment.com\account\temp\js\owl.init.js,1.61,False,False
14_06_2025\astridglobalinvestment.com\account\temp\js\widget.js,402.11,True,True
14_06_2025\astridglobalinvestment.com\assets\js\bootstrap.min.js,61.98,True,True
14_06_2025\astridglobalinvestment.com\assets\js\demo.js,3.81,False,False
14_06_2025\astridglobalinvestment.com\assets\js\jquery-3.5.1.min.js,87.38,True,True
14_06_2025\astridglobalinvestment.com\assets\js\jquery.inputmask-multi.js,6.31,True,True
14_06_2025\astridglobalinvestment.com\assets\js\jquery.inputmask.js,69.67,True,True
14_06_2025\astridglobalinvestment.com\assets\js\mask-tel.js,59.46,False,False
14_06_2025\astridglobalinvestment.com\assets\js\popper.min.js,20.74,True,True
14_06_2025\astridglobalinvestment.com\assets\plugins\bootstrap-select\dist\js\bootstrap-select.min.js,51.02,True,True
14_06_2025\astridglobalinvestment.com\assets\plugins\owl-carousel\dist\owl.carousel.min.js,43.30,True,True
14_06_2025\astridglobalinvestment.com\assets\plugins\sweetalert2\dist\sweetalert2.min.js,35.77,True,True
14_06_2025\astridglobalinvestment.com\cdn-cgi\scripts\5c5dd728\cloudflare-static\email-decode.min.js,1.21,True,False
14_06_2025\astridglobalinvestment.com\external-embedding\embed-widget-ticker-tape.js,13.34,True,False
14_06_2025\atsclient.atstradingserviceltd.com\ats\js\main.js,1.78,False,False
14_06_2025\atsclient.atstradingserviceltd.com\ats\vendor\animsition\js\animsition.min.js,5.48,True,True
14_06_2025\atsclient.atstradingserviceltd.com\ats\vendor\bootstrap\js\bootstrap.min.js,49.94,True,True
14_06_2025\atsclient.atstradingserviceltd.com\ats\vendor\bootstrap\js\popper.js,79.76,False,True
14_06_2025\atsclient.atstradingserviceltd.com\ats\vendor\countdowntime\countdowntime.js,1.31,False,True
14_06_2025\atsclient.atstradingserviceltd.com\ats\vendor\daterangepicker\daterangepicker.js,68.14,False,False
14_06_2025\atsclient.atstradingserviceltd.com\ats\vendor\daterangepicker\moment.min.js,45.55,True,False
14_06_2025\atsclient.atstradingserviceltd.com\ats\vendor\jquery\jquery-3.2.1.min.js,84.63,True,True
14_06_2025\atsclient.atstradingserviceltd.com\ats\vendor\select2\select2.min.js,65.10,True,True
14_06_2025\atstradingserviceltd.com\wp-content\plugins\revslider\public\assets\js\rbtools.min627e.js,161.63,True,True
14_06_2025\atstradingserviceltd.com\wp-content\plugins\revslider\public\assets\js\rs6.min627e.js,406.03,True,True
14_06_2025\atstradingserviceltd.com\wp-content\plugins\wpforms\assets\js\utils.min7f54.js,0.33,False,True
14_06_2025\atstradingserviceltd.com\wp-content\plugins\wpforms\assets\js\wpforms-modern.min7f54.js,5.45,True,True
14_06_2025\atstradingserviceltd.com\wp-content\plugins\wpforms\assets\js\wpforms.min7f54.js,34.96,True,True
14_06_2025\atstradingserviceltd.com\wp-content\plugins\wpforms\assets\lib\jquery.inputmask.minb4c5.js,94.47,True,True
14_06_2025\atstradingserviceltd.com\wp-content\plugins\wpforms\assets\lib\jquery.validate.min7e9d.js,24.03,True,False
14_06_2025\atstradingserviceltd.com\wp-content\plugins\wpforms\assets\lib\mailcheck.mincfa9.js,3.92,True,False
14_06_2025\atstradingserviceltd.com\wp-content\plugins\wpforms\assets\lib\punycode.min8a54.js,1.67,True,False
14_06_2025\atstradingserviceltd.com\wp-content\plugins\wpforms\assets\lib\flatpickr\flatpickr.mina02c.js,48.51,True,True
14_06_2025\atstradingserviceltd.com\wp-content\plugins\wpforms\assets\lib\jquery.timepicker\jquery.timepicker.min34e4.js,14.94,True,True
14_06_2025\atstradingserviceltd.com\wp-content\plugins\wpforms\assets\pro\js\wpforms-conditional-logic-fields.min7f54.js,8.51,True,False
14_06_2025\atstradingserviceltd.com\wp-content\plugins\wpforms\assets\pro\js\wpforms-file-upload.es5.min7f54.js,8.42,True,True
14_06_2025\atstradingserviceltd.com\wp-content\plugins\wpforms\assets\pro\lib\dropzone.min7404.js,112.01,True,True
14_06_2025\atstradingserviceltd.com\wp-content\plugins\wpforms\assets\pro\lib\intl-tel-input\jquery.intl-tel-input.minca8e.js,30.46,True,True
14_06_2025\atstradingserviceltd.com\wp-content\plugins\wpforms-signatures\assets\js\signature_pad.min95b8.js,9.16,True,True
14_06_2025\atstradingserviceltd.com\wp-content\plugins\wpforms-signatures\assets\js\wpforms-signatures.min7d4c.js,2.80,True,True
14_06_2025\atstradingserviceltd.com\wp-content\uploads\fusion-scripts\8151f185ec447618fd0e44994e93176e.min7740.js,457.63,True,True
14_06_2025\atstradingserviceltd.com\wp-content\uploads\fusion-scripts\a5c042aac40f24f6a5927b762d34aaa1.min7740.js,512.84,True,True
14_06_2025\atstradingserviceltd.com\wp-content\uploads\fusion-scripts\cdecc5a5d22d7c124b074c215fbfaeb1.min7740.js,430.35,True,True
14_06_2025\atstradingserviceltd.com\wp-content\uploads\fusion-scripts\eff1556245439d6f5a5d0e83c45c4236.min7740.js,451.88,True,True
14_06_2025\atstradingserviceltd.com\wp-includes\js\underscore.min3ab8.js,18.46,True,True
14_06_2025\atstradingserviceltd.com\wp-includes\js\wp-util.min0899.js,1.39,True,False
14_06_2025\atstradingserviceltd.com\wp-includes\js\jquery\jquery.minf43b.js,85.50,True,True
14_06_2025\avonequitiesltd.com\popper.js,2.41,False,False
14_06_2025\avonequitiesltd.com\assets\js\bootstrap.min.js,49.84,True,True
14_06_2025\avonequitiesltd.com\assets\js\investment-profit-calculator.js,7.04,False,True
14_06_2025\avonequitiesltd.com\assets\js\jquery-modal-video.min.js,7.22,True,True
14_06_2025\avonequitiesltd.com\assets\js\jquery.js,99.29,True,True
14_06_2025\avonequitiesltd.com\assets\js\language.js,1.72,True,True
14_06_2025\avonequitiesltd.com\assets\js\main.js,4.97,False,False
14_06_2025\avonequitiesltd.com\assets\js\popper.min.js,18.74,True,True
14_06_2025\avonequitiesltd.com\assets\js\slick.min.js,41.86,True,True
14_06_2025\avonequitiesltd.com\assets\js\toastr.min.js,5.13,True,True
14_06_2025\c.parkingcrew.net\scripts\sale_form.js,0.74,False,False
14_06_2025\caddingtonlimited.com\wp-content\plugins\contact-form-7\includes\js\indexfc7a.js,13.14,True,True
14_06_2025\caddingtonlimited.com\wp-content\plugins\contact-form-7\includes\swv\js\indexfc7a.js,12.22,True,False
14_06_2025\caddingtonlimited.com\wp-content\plugins\revslider\public\assets\js\rbtools.minf266.js,161.46,True,True
14_06_2025\caddingtonlimited.com\wp-content\plugins\revslider\public\assets\js\rs6.minf266.js,400.54,True,True
14_06_2025\caddingtonlimited.com\wp-content\plugins\stock-market-ticker\assets\stockdio-wpcdc2.js,12.70,True,True
14_06_2025\caddingtonlimited.com\wp-content\plugins\wpforms\assets\js\utils.min7f54.js,0.33,False,True
14_06_2025\caddingtonlimited.com\wp-content\plugins\wpforms\assets\js\wpforms-modern.min7f54.js,5.45,True,True
14_06_2025\caddingtonlimited.com\wp-content\plugins\wpforms\assets\js\wpforms.min7f54.js,34.96,True,True
14_06_2025\caddingtonlimited.com\wp-content\plugins\wpforms\assets\lib\jquery.inputmask.minb4c5.js,94.47,True,True
14_06_2025\caddingtonlimited.com\wp-content\plugins\wpforms\assets\lib\jquery.validate.min7e9d.js,24.03,True,False
14_06_2025\caddingtonlimited.com\wp-content\plugins\wpforms\assets\lib\mailcheck.mincfa9.js,3.92,True,False
14_06_2025\caddingtonlimited.com\wp-content\plugins\wpforms\assets\lib\punycode.min8a54.js,1.67,True,False
14_06_2025\caddingtonlimited.com\wp-content\plugins\wpforms\assets\lib\flatpickr\flatpickr.mina02c.js,48.51,True,True
14_06_2025\caddingtonlimited.com\wp-content\plugins\wpforms\assets\lib\jquery.timepicker\jquery.timepicker.min34e4.js,14.94,True,True
14_06_2025\caddingtonlimited.com\wp-content\plugins\wpforms\assets\pro\js\wpforms-conditional-logic-fields.min7f54.js,8.51,True,False
14_06_2025\caddingtonlimited.com\wp-content\plugins\wpforms\assets\pro\js\wpforms-file-upload.es5.min7f54.js,8.42,True,True
14_06_2025\caddingtonlimited.com\wp-content\plugins\wpforms\assets\pro\lib\dropzone.min7404.js,112.01,True,True
14_06_2025\caddingtonlimited.com\wp-content\plugins\wpforms\assets\pro\lib\intl-tel-input\jquery.intl-tel-input.minca8e.js,30.46,True,True
14_06_2025\caddingtonlimited.com\wp-content\plugins\wpforms-signatures\assets\js\signature_pad.min95b8.js,9.16,True,True
14_06_2025\caddingtonlimited.com\wp-content\plugins\wpforms-signatures\assets\js\wpforms-signatures.min7d4c.js,2.80,True,True
14_06_2025\caddingtonlimited.com\wp-content\themes\betheme\assets\animations\animations.min6cc8.js,1.79,True,True
14_06_2025\caddingtonlimited.com\wp-content\themes\betheme\assets\jplayer\jplayer.min6cc8.js,51.34,True,True
14_06_2025\caddingtonlimited.com\wp-content\themes\betheme\js\menu6cc8.js,2.79,False,False
14_06_2025\caddingtonlimited.com\wp-content\themes\betheme\js\scripts6cc8.js,146.17,True,True
14_06_2025\caddingtonlimited.com\wp-content\themes\betheme\js\parallax\translate3d6cc8.js,3.95,False,True
14_06_2025\caddingtonlimited.com\wp-content\themes\betheme\js\plugins\chart.min6cc8.js,3.74,True,True
14_06_2025\caddingtonlimited.com\wp-content\themes\betheme\js\plugins\countdown.min6cc8.js,1.12,True,True
14_06_2025\caddingtonlimited.com\wp-content\themes\betheme\js\plugins\debouncedresize.min6cc8.js,0.46,False,True
14_06_2025\caddingtonlimited.com\wp-content\themes\betheme\js\plugins\enllax.min6cc8.js,1.50,True,False
14_06_2025\caddingtonlimited.com\wp-content\themes\betheme\js\plugins\magnificpopup.min6cc8.js,19.77,True,True
14_06_2025\caddingtonlimited.com\wp-content\themes\betheme\js\plugins\visible.min6cc8.js,0.59,False,False
14_06_2025\caddingtonlimited.com\wp-content\themes\betheme\js\plugins\waypoints.min6cc8.js,8.82,True,True
14_06_2025\caddingtonlimited.com\wp-content\uploads\fusion-scripts\8d34da534597df3917d3974e705b3dfd.min991d.js,170.39,True,True
14_06_2025\caddingtonlimited.com\wp-includes\js\comment-reply.min0899.js,2.96,True,False
14_06_2025\caddingtonlimited.com\wp-includes\js\underscore.min3ab8.js,18.46,True,True
14_06_2025\caddingtonlimited.com\wp-includes\js\wp-util.min0899.js,1.39,True,False
14_06_2025\caddingtonlimited.com\wp-includes\js\dist\hooks.min4fdd.js,4.66,True,False
14_06_2025\caddingtonlimited.com\wp-includes\js\dist\i18n.minc33c.js,8.93,True,False
14_06_2025\caddingtonlimited.com\wp-includes\js\jquery\jquery-migrate.min5589.js,13.26,True,True
14_06_2025\caddingtonlimited.com\wp-includes\js\jquery\jquery.minf43b.js,85.50,True,True
14_06_2025\caddingtonlimited.com\wp-includes\js\jquery\ui\core.minb37e.js,20.96,True,True
14_06_2025\caddingtonlimited.com\wp-includes\js\jquery\ui\tabs.minb37e.js,11.73,True,True
14_06_2025\cdn.datatables.net\1.10.9\js\jquery.dataTables.min.js,78.97,True,True
14_06_2025\cdn.datatables.net\buttons\1.0.3\js\buttons.print.min.js,1.20,True,True
14_06_2025\cdn.datatables.net\buttons\1.0.3\js\dataTables.buttons.min.js,13.76,True,True
14_06_2025\cdn.datatables.net\select\1.0.1\js\dataTables.select.min.js,9.46,True,False
14_06_2025\cdn.jsdelivr.net\npm\@popperjs\core@2.11.8\dist\umd\popper.min.js,19.65,True,False
14_06_2025\cdn.jsdelivr.net\npm\@popperjs\core@2.9.2\dist\umd\popper.min.js,18.16,True,False
14_06_2025\cdn.jsdelivr.net\npm\bootstrap@5.3.0\dist\js\bootstrap.bundle.min.js,78.54,True,True
14_06_2025\cdn.jsdelivr.net\npm\bootstrap@5.3.3\dist\js\bootstrap.bundle.min.js,78.83,True,True
14_06_2025\cdn.jsdelivr.net\npm\bootstrap@5.3.3\dist\js\bootstrap.min.js,59.21,True,True
14_06_2025\cdn.staticfile.org\jquery\3.6.0\jquery.min.js,87.40,True,True
14_06_2025\cdnjs.cloudflare.com\ajax\libs\codemirror\5.65.2\codemirror.min.js,166.30,True,True
14_06_2025\cdnjs.cloudflare.com\ajax\libs\codemirror\5.65.2\mode\meta.js,15.55,False,False
14_06_2025\cdnjs.cloudflare.com\ajax\libs\wow\0.1.12\wow.min.js,6.00,True,True
14_06_2025\certifiedtrade.net\app\temp\js\app.js,3.20,False,False
14_06_2025\certifiedtrade.net\app\temp\js\bootstrap.bundle.min.js,82.18,True,True
14_06_2025\certifiedtrade.net\app\temp\js\feather.min.js,74.00,True,True
14_06_2025\certifiedtrade.net\app\temp\js\jquery-3.5.1.min.js,87.38,True,True
14_06_2025\certifiedtrade.net\app\temp\js\owl.carousel.min.js,43.30,True,True
14_06_2025\certifiedtrade.net\app\temp\js\owl.init.js,1.61,False,False
14_06_2025\certifiedtrade.net\app\temp\js\widget.js,402.11,True,True
14_06_2025\certifiedtrade.net\assets\js\bootstrap.min.js,61.98,True,True
14_06_2025\certifiedtrade.net\assets\js\demo.js,3.81,False,False
14_06_2025\certifiedtrade.net\assets\js\jquery-3.5.1.min.js,87.38,True,True
14_06_2025\certifiedtrade.net\assets\js\jquery.inputmask-multi.js,6.31,True,True
14_06_2025\certifiedtrade.net\assets\js\jquery.inputmask.js,69.67,True,True
14_06_2025\certifiedtrade.net\assets\js\mask-tel.js,59.46,False,False
14_06_2025\certifiedtrade.net\assets\js\popper.min.js,20.74,True,True
14_06_2025\certifiedtrade.net\assets\plugins\bootstrap-select\dist\js\bootstrap-select.min.js,51.02,True,True
14_06_2025\certifiedtrade.net\assets\plugins\owl-carousel\dist\owl.carousel.min.js,43.30,True,True
14_06_2025\certifiedtrade.net\assets\plugins\sweetalert2\dist\sweetalert2.min.js,35.77,True,True
14_06_2025\certifiedtrade.net\cdn-cgi\scripts\5c5dd728\cloudflare-static\email-decode.min.js,1.21,True,False
14_06_2025\certifiedtrade.net\external-embedding\embed-widget-ticker-tape.js,13.34,True,False
14_06_2025\client.crisp.chat\l.js,9.01,True,True
14_06_2025\code.jquery.com\jquery-1.11.3.min.js,93.71,True,True
14_06_2025\code.jquery.com\jquery-3.5.1.slim.min.js,70.68,True,True
14_06_2025\code.jquery.com\jquery-latest.min.js,93.54,True,True
14_06_2025\code.tidio.co_443\3dq9kdxgwlcxkvpbmdgg7cbal1omklyp.js,0.00,False,False
14_06_2025\code.tidio.co_443\aneztofowfvh1a6ferlwxbokfytooybk.js,0.00,False,False
14_06_2025\code.tidio.co_443\yr20sc6fz5wodmelpyoye2l7jdr2nh8z.js,0.00,False,False
14_06_2025\copyvestpro.com\account\en\assets\js\app.js,33.77,False,True
14_06_2025\copyvestpro.com\account\en\assets\js\bootstrap.bundle.min.js,76.30,True,True
14_06_2025\copyvestpro.com\account\en\assets\js\countdown.js,1.50,False,True
14_06_2025\copyvestpro.com\account\en\assets\js\isotope.pkgd.min.js,34.61,True,True
14_06_2025\copyvestpro.com\account\en\assets\js\jquery-3.6.0.min.js,87.40,True,True
14_06_2025\copyvestpro.com\account\en\assets\js\jquery.magnific-popup.min.js,19.74,True,True
14_06_2025\copyvestpro.com\account\en\assets\js\slick.js,41.86,True,True
14_06_2025\copyvestpro.com\account\en\assets\js\swiper-bundle.min.js,139.35,True,True
14_06_2025\copyvestpro.com\account\en\assets\js\wow.min.js,7.96,True,True
14_06_2025\copyvestpro.com\account\en\assets\js\menu\menu.js,2.47,False,True
14_06_2025\copyvestpro.com\account\public\assets\js\app.js,9.60,True,True
14_06_2025\copyvestpro.com\account\public\assets\js\bundle.js,659.44,True,True
14_06_2025\copyvestpro.com\assets\js\bootstrap.min.js,61.98,True,True
14_06_2025\copyvestpro.com\assets\js\demo.js,3.81,False,False
14_06_2025\copyvestpro.com\assets\js\jquery-3.5.1.min.js,87.38,True,True
14_06_2025\copyvestpro.com\assets\js\jquery.inputmask-multi.js,6.31,True,True
14_06_2025\copyvestpro.com\assets\js\jquery.inputmask.js,69.67,True,True
14_06_2025\copyvestpro.com\assets\js\mask-tel.js,59.46,False,False
14_06_2025\copyvestpro.com\assets\js\popper.min.js,20.74,True,True
14_06_2025\copyvestpro.com\assets\plugins\bootstrap-select\dist\js\bootstrap-select.min.js,51.02,True,True
14_06_2025\copyvestpro.com\assets\plugins\owl-carousel\dist\owl.carousel.min.js,43.30,True,True
14_06_2025\copyvestpro.com\assets\plugins\sweetalert2\dist\sweetalert2.min.js,35.77,True,True
14_06_2025\copyvestpro.com\cdn-cgi\scripts\5c5dd728\cloudflare-static\email-decode.min.js,1.21,True,False
14_06_2025\copyvestpro.com\external-embedding\embed-widget-ticker-tape.js,13.34,True,False
14_06_2025\eliteminerproinvestment.com\account\en\assets\js\app.js,33.77,False,True
14_06_2025\eliteminerproinvestment.com\account\en\assets\js\bootstrap.bundle.min.js,76.30,True,True
14_06_2025\eliteminerproinvestment.com\account\en\assets\js\countdown.js,1.50,False,True
14_06_2025\eliteminerproinvestment.com\account\en\assets\js\isotope.pkgd.min.js,34.61,True,True
14_06_2025\eliteminerproinvestment.com\account\en\assets\js\jquery-3.6.0.min.js,87.40,True,True
14_06_2025\eliteminerproinvestment.com\account\en\assets\js\jquery.magnific-popup.min.js,19.74,True,True
14_06_2025\eliteminerproinvestment.com\account\en\assets\js\slick.js,41.86,True,True
14_06_2025\eliteminerproinvestment.com\account\en\assets\js\swiper-bundle.min.js,139.35,True,True
14_06_2025\eliteminerproinvestment.com\account\en\assets\js\wow.min.js,7.96,True,True
14_06_2025\eliteminerproinvestment.com\account\en\assets\js\menu\menu.js,2.47,False,True
14_06_2025\eliteminerproinvestment.com\account\public\assets\js\app.js,9.60,True,True
14_06_2025\eliteminerproinvestment.com\account\public\assets\js\bundle.js,659.44,True,True
14_06_2025\eliteminerproinvestment.com\assets\js\bootstrap.min.js,61.98,True,True
14_06_2025\eliteminerproinvestment.com\assets\js\demo.js,3.81,False,False
14_06_2025\eliteminerproinvestment.com\assets\js\jquery-3.5.1.min.js,87.38,True,True
14_06_2025\eliteminerproinvestment.com\assets\js\jquery.inputmask-multi.js,6.31,True,True
14_06_2025\eliteminerproinvestment.com\assets\js\jquery.inputmask.js,69.67,True,True
14_06_2025\eliteminerproinvestment.com\assets\js\mask-tel.js,59.46,False,False
14_06_2025\eliteminerproinvestment.com\assets\js\popper.min.js,20.74,True,True
14_06_2025\eliteminerproinvestment.com\assets\plugins\bootstrap-select\dist\js\bootstrap-select.min.js,51.02,True,True
14_06_2025\eliteminerproinvestment.com\assets\plugins\owl-carousel\dist\owl.carousel.min.js,43.30,True,True
14_06_2025\eliteminerproinvestment.com\assets\plugins\sweetalert2\dist\sweetalert2.min.js,35.77,True,True
14_06_2025\eliteminerproinvestment.com\cdn-cgi\scripts\5c5dd728\cloudflare-static\email-decode.min.js,1.21,True,False
14_06_2025\eliteminerproinvestment.com\external-embedding\embed-widget-ticker-tape.js,13.34,True,False
14_06_2025\embed.tawk.to\6034eab19c4f165d47c63486\1ev7b9hbh.js,2.15,False,False
14_06_2025\embed.tawk.to\_s\v4\app\684bb7452e0\js\twk-app.js,0.15,False,False
14_06_2025\embed.tawk.to\_s\v4\app\684bb7452e0\js\twk-arr-find-polyfill.js,0.17,False,False
14_06_2025\embed.tawk.to\_s\v4\app\684bb7452e0\js\twk-chunk-common.js,231.35,True,True
14_06_2025\embed.tawk.to\_s\v4\app\684bb7452e0\js\twk-chunk-vendors.js,316.42,True,True
14_06_2025\embed.tawk.to\_s\v4\app\684bb7452e0\js\twk-entries-polyfill.js,0.16,False,False
14_06_2025\embed.tawk.to\_s\v4\app\684bb7452e0\js\twk-event-polyfill.js,0.34,False,False
14_06_2025\embed.tawk.to\_s\v4\app\684bb7452e0\js\twk-iterator-polyfill.js,0.16,False,False
14_06_2025\embed.tawk.to\_s\v4\app\684bb7452e0\js\twk-object-values-polyfill.js,0.16,False,False
14_06_2025\embed.tawk.to\_s\v4\app\684bb7452e0\js\twk-promise-polyfill.js,0.16,False,False
14_06_2025\embed.tawk.to\_s\v4\app\684bb7452e0\js\twk-runtime.js,2.25,True,True
14_06_2025\embed.tawk.to\_s\v4\app\684bb7452e0\js\twk-vendor.js,80.97,True,True
14_06_2025\euob.astarsbuilding.com\sxp\i\224f85302aa2b6ec30aac9a85da2cbf9.js,109.86,True,True
14_06_2025\forbescapitaltrade.com\account\en\assets\js\app.js,33.77,False,True
14_06_2025\forbescapitaltrade.com\account\en\assets\js\bootstrap.bundle.min.js,76.30,True,True
14_06_2025\forbescapitaltrade.com\account\en\assets\js\countdown.js,1.50,False,True
14_06_2025\forbescapitaltrade.com\account\en\assets\js\isotope.pkgd.min.js,34.61,True,True
14_06_2025\forbescapitaltrade.com\account\en\assets\js\jquery-3.6.0.min.js,87.40,True,True
14_06_2025\forbescapitaltrade.com\account\en\assets\js\jquery.magnific-popup.min.js,19.74,True,True
14_06_2025\forbescapitaltrade.com\account\en\assets\js\slick.js,41.86,True,True
14_06_2025\forbescapitaltrade.com\account\en\assets\js\swiper-bundle.min.js,139.35,True,True
14_06_2025\forbescapitaltrade.com\account\en\assets\js\wow.min.js,7.96,True,True
14_06_2025\forbescapitaltrade.com\account\en\assets\js\menu\menu.js,2.47,False,True
14_06_2025\forbescapitaltrade.com\account\public\assets\js\app.js,9.60,True,True
14_06_2025\forbescapitaltrade.com\account\public\assets\js\bundle.js,659.44,True,True
14_06_2025\forbescapitaltrade.com\assets\js\bootstrap.min.js,61.98,True,True
14_06_2025\forbescapitaltrade.com\assets\js\demo.js,3.81,False,False
14_06_2025\forbescapitaltrade.com\assets\js\jquery-3.5.1.min.js,87.38,True,True
14_06_2025\forbescapitaltrade.com\assets\js\jquery.inputmask-multi.js,6.31,True,True
14_06_2025\forbescapitaltrade.com\assets\js\jquery.inputmask.js,69.67,True,True
14_06_2025\forbescapitaltrade.com\assets\js\mask-tel.js,59.46,False,False
14_06_2025\forbescapitaltrade.com\assets\js\popper.min.js,20.74,True,True
14_06_2025\forbescapitaltrade.com\assets\plugins\bootstrap-select\dist\js\bootstrap-select.min.js,51.02,True,True
14_06_2025\forbescapitaltrade.com\assets\plugins\owl-carousel\dist\owl.carousel.min.js,43.30,True,True
14_06_2025\forbescapitaltrade.com\assets\plugins\sweetalert2\dist\sweetalert2.min.js,35.77,True,True
