Suspicious Term,2025-06-24 (Hits),2025-06-24 (Paths)
account,84,14_06_2025\apexglobalfxworld.com\account; 14_06_2025\apexglobalfxworld.com\account; 14_06_2025\apexglobalfxworld.com\en\account-agreement.html; 14_06_2025\apexglobalfxworld.com\en\account-agreement.html; 14_06_2025\apexglobalfxworld.com\en\account-type.html; 14_06_2025\apexglobalfxworld.com\en\account-type.html; 14_06_2025\aspirebitwealth.com\account; 14_06_2025\aspirebitwealth.com\account; 14_06_2025\aspirebitwealth.com\en\account-agreement.html; 14_06_2025\aspirebitwealth.com\en\account-agreement.html; 14_06_2025\aspirebitwealth.com\en\account-type.html; 14_06_2025\aspirebitwealth.com\en\account-type.html; 14_06_2025\astridglobalinvestment.com\account; 14_06_2025\astridglobalinvestment.com\account; 14_06_2025\astridglobalinvestment.com\en\account-agreement.html; 14_06_2025\astridglobalinvestment.com\en\account-agreement.html; 14_06_2025\astridglobalinvestment.com\en\account-type.html; 14_06_2025\astridglobalinvestment.com\en\account-type.html; 14_06_2025\atstradingserviceltd.com\wp-content\uploads\2024\04\accountability-icon.png; 14_06_2025\atstradingserviceltd.com\wp-content\uploads\2024\04\accountability-icon.png; 14_06_2025\caddingtonlimited.com\account-application; 14_06_2025\caddingtonlimited.com\account-application; 14_06_2025\certifiedtrade.net\en\account-agreement.html; 14_06_2025\certifiedtrade.net\en\account-agreement.html; 14_06_2025\certifiedtrade.net\en\account-type.html; 14_06_2025\certifiedtrade.net\en\account-type.html; 14_06_2025\copyvestpro.com\account; 14_06_2025\copyvestpro.com\account; 14_06_2025\copyvestpro.com\en\account-agreement.html; 14_06_2025\copyvestpro.com\en\account-agreement.html; 14_06_2025\copyvestpro.com\en\account-type.html; 14_06_2025\copyvestpro.com\en\account-type.html; 14_06_2025\eliteminerproinvestment.com\account; 14_06_2025\eliteminerproinvestment.com\account; 14_06_2025\eliteminerproinvestment.com\en\account-agreement.html; 14_06_2025\eliteminerproinvestment.com\en\account-agreement.html; 14_06_2025\eliteminerproinvestment.com\en\account-type.html; 14_06_2025\eliteminerproinvestment.com\en\account-type.html; 14_06_2025\forbescapitaltrade.com\account; 14_06_2025\forbescapitaltrade.com\account; 14_06_2025\forbescapitaltrade.com\en\account-agreement.html; 14_06_2025\forbescapitaltrade.com\en\account-agreement.html; 14_06_2025\forbescapitaltrade.com\en\account-type.html; 14_06_2025\forbescapitaltrade.com\en\account-type.html; 14_06_2025\globalproinvestment.com\account; 14_06_2025\globalproinvestment.com\account; 14_06_2025\globalproinvestment.com\en\account-agreement.html; 14_06_2025\globalproinvestment.com\en\account-agreement.html; 14_06_2025\globalproinvestment.com\en\account-type.html; 14_06_2025\globalproinvestment.com\en\account-type.html; 14_06_2025\horizonprofitchasers.com\account; 14_06_2025\horizonprofitchasers.com\account; 14_06_2025\horizonprofitchasers.com\en\account-agreement.html; 14_06_2025\horizonprofitchasers.com\en\account-agreement.html; 14_06_2025\horizonprofitchasers.com\en\account-type.html; 14_06_2025\horizonprofitchasers.com\en\account-type.html; 14_06_2025\horizonxprexbs.com\account; 14_06_2025\horizonxprexbs.com\account; 14_06_2025\horizonxprexbs.com\en\account-agreement.html; 14_06_2025\horizonxprexbs.com\en\account-agreement.html; 14_06_2025\horizonxprexbs.com\en\account-type.html; 14_06_2025\horizonxprexbs.com\en\account-type.html; 14_06_2025\pinnaclesassetmanagement.com\en\account-agreement.html; 14_06_2025\pinnaclesassetmanagement.com\en\account-agreement.html; 14_06_2025\pinnaclesassetmanagement.com\en\account-type.html; 14_06_2025\pinnaclesassetmanagement.com\en\account-type.html; 14_06_2025\pinnaclesassetmanagement.com\images\account-active.html; 14_06_2025\pinnaclesassetmanagement.com\images\account-active.html; 14_06_2025\pinnaclesassetmanagement.com\images\account.html; 14_06_2025\pinnaclesassetmanagement.com\images\account.html; 14_06_2025\premiumcryptolite.com\account; 14_06_2025\premiumcryptolite.com\account; 14_06_2025\premiumcryptolite.com\en\account-agreement.html; 14_06_2025\premiumcryptolite.com\en\account-agreement.html; 14_06_2025\premiumcryptolite.com\en\account-type.html; 14_06_2025\premiumcryptolite.com\en\account-type.html; 14_06_2025\promarketspot.com\account; 14_06_2025\promarketspot.com\account; 14_06_2025\promarketspot.com\en\account-agreement.html; 14_06_2025\promarketspot.com\en\account-agreement.html; 14_06_2025\promarketspot.com\en\account-type.html; 14_06_2025\promarketspot.com\en\account-type.html; 14_06_2025\vasttradenetwork.com\my-account; 14_06_2025\vasttradenetwork.com\my-account
address:,0,
admin,8,14_06_2025\atstradingserviceltd.com\wp-admin; 14_06_2025\atstradingserviceltd.com\author\admin; 14_06_2025\atstradingserviceltd.com\wp-admin\admin-ajax.html; 14_06_2025\caddingtonlimited.com\wp-admin; 14_06_2025\caddingtonlimited.com\wp-admin\admin-ajax.html; 14_06_2025\caddingtonlimited.com\wp-content\uploads\2024\02\financial-admin-img.png; 14_06_2025\pinnaclesassetmanagement.com\responsive-admin.css; 14_06_2025\pinnaclesassetmanagement.com\style-admin.css
admin login,0,
admin panel,0,
admin.php,0,
admin@,0,
amf warning,0,
aml,0,
api.secret,0,
api_key,0,
api_key,0,
api_secret,0,
arbitration,0,
archive,0,
as seen on,0,
asic warning,0,
asx warning,0,
atob(,0,
auth,4,14_06_2025\atstradingserviceltd.com\author; 14_06_2025\atstradingserviceltd.com\author; 14_06_2025\certifiedtrade.net\app\auth; 14_06_2025\certifiedtrade.net\app\auth
auth,4,14_06_2025\atstradingserviceltd.com\author; 14_06_2025\atstradingserviceltd.com\author; 14_06_2025\certifiedtrade.net\app\auth; 14_06_2025\certifiedtrade.net\app\auth
auth token,0,
autoexec,0,
autorun,0,
axios.get(,0,
axios.post(,0,
baFin warning,0,
backdoor,0,
backup,0,
bank statement,0,
bank transfer,0,
"base64,",0,
base64_decode,0,
bearer,0,
beef,0,
bep20,0,
bic,0,
billing address,0,
bitbucket,0,
blogspot.com,0,
broker ID,0,
btc,0,
btoa(,0,
business number,0,
c2,31,14_06_2025\atstradingserviceltd.com\wp-content\uploads\fusion-scripts\cdecc5a5d22d7c124b074c215fbfaeb1.min7740.js; 14_06_2025\caddingtonlimited.com\wp-content\plugins\stock-market-ticker\assets\stockdio-wpcdc2.js; 14_06_2025\caddingtonlimited.com\wp-content\uploads\betheme\css\post-133e0c2.css; 14_06_2025\caddingtonlimited.com\wp-content\uploads\betheme\css\post-22e0c2.css; 14_06_2025\caddingtonlimited.com\wp-content\uploads\betheme\css\post-68e0c2.css; 14_06_2025\fonts.googleapis.com\css09c2.css; 14_06_2025\fonts.googleapis.com\css35c2.css; 14_06_2025\fonts.googleapis.com\css66c2.css; 14_06_2025\images.unsplash.com\photo-1570126618953-d437176e8c797c2f.jpg; 14_06_2025\kstatic.googleusercontent.com\files\0e4a2ba1482d91cc2b827d52d6690cbcf2d5f77892f11034e238dda48edca32dc168bff17fe02114dee3b642b0fef0e5d6d478b37ad990908749a7325a964ce3=w1080; 14_06_2025\kstatic.googleusercontent.com\files\1e72e3d5aa525f876601e0bc2589b075ffbd471ac6e3bf0daf4f1839bdba205ea737dea9888627ae10c77674a2a5523a6d8ee855a59bbe10a9be6a4587f4d304=w1080; 14_06_2025\kstatic.googleusercontent.com\files\3801d2031303eef59c7aefcd45b493d8ce2c4d4b79622d289587181f797e5176ff3c2ca543d4fb8c14db372905eb982c21e8ea9b143b1ed03c73ed1ebeafa703=w1080; 14_06_2025\kstatic.googleusercontent.com\files\397a7a23beb6b3c8ebca8d5cb517987d8b027a7703b4e8c3b44b4e5273a0caf6e61946a6dbc2d413a1a2b8e23708b1e44d80cd66e9572900dd4abcfcac81226d=w1080; 14_06_2025\kstatic.googleusercontent.com\files\6e4cedf4f3d2fa3a19c84165ff5776e1c0133a435b80505859d806a87faae030f1a74a33abc197147f356399b93efc73a414bac25dcaba438456489fddb25ae9=w1080; 14_06_2025\kstatic.googleusercontent.com\files\749145ec6a039a01efccbb8eb3f5dda10738c1e70f89e8ebe6eb77649c25f94db2626c810c475cf440da7fff70ed17797f186664357c2dc9b26c20eae901d2a0=w1080; 14_06_2025\kstatic.googleusercontent.com\files\9deea7978ee40fb62db69c9bd3556defc2525330ba566d943076cfac0352d0cc082eb3bca373593d941c363bd311c3258a6148b04a207f18fa64d4bdc845dd02=w1080; 14_06_2025\kstatic.googleusercontent.com\files\ad61b7fdb0f543a8dfc1811be80a059ecd6b2ada5783016d1b8da7384cadf3b08e366a198a77d571144e82d078dc612dd6ed95f41e1ae42290510ab306bac242=w1080; 14_06_2025\kstatic.googleusercontent.com\files\afdf78150cb2ddafc1b94e61a448522ba6eaa026ec70e39bca20080b99dc54f2a502f6264299cf0a1623eb5e3f4c2c47dba50f804e489af106337075164a45c2=w1080; 14_06_2025\kstatic.googleusercontent.com\files\bbb06eabf057f32fe9268a9c2f4970fb8cdc7176207019a4a7871a0429aa84017a506df18dc4d5fcf1e59ab5c7d12a66f1866692d20df4eefd3eb1367607af29=w1080; 14_06_2025\kstatic.googleusercontent.com\files\c7785b16c01acffba7f009f9e999aee2893f724d83fa12b7cfdcc799cf2c5f8540b0767c25b847c338b2e526c6947a7c62bca6e8a945730224cdfb0f6e041c52=w1080; 14_06_2025\kstatic.googleusercontent.com\files\dac254190c437055f71478d5389db89d1c8ce11ce7440bfe224fa2fb3809331244d0cbe2a75802a138a520042df04799756ed3ad07a19a3e71a9d7af999534b2=w1080; 14_06_2025\kstatic.googleusercontent.com\files\df6132937554d750669d9a5d736b0c7b42f0cd2a32ad28c909b31bbc0bc8bfcaf1e41dc2b8666659205d5cba09a04be2c8cac22ef29a44e00ed41e0e48314c9e=w1080; 14_06_2025\kstatic.googleusercontent.com\files\e4a1b6165a626b4995fe47601d232bd133a9eed82a8f01c5ad450dad4608c2a284f9db4e81addab9a3f344726a19f855f3377d575cca2fb5dae08c52b957f2c3=w1080; 14_06_2025\kstatic.googleusercontent.com\files\e88d4e4a36799103efe42cc6fadf2e7f9a22bc4fce73a0ffe5cf4476523e149b4fed70a28b5a5f5e3e86f55e8fc21dc639df5deba000fd307936c4e7091ab216=w1080; 14_06_2025\kstatic.googleusercontent.com\files\f4ff985385b31ac35cb6624d6adef05ef4ea42162c85993a8b11abdb9d5f694210ad818a143b46665bff937c856624dd211defc28384ce2ba789ee22d58ab226=w1080; 14_06_2025\kstatic.googleusercontent.com\files\f6e80dae0d921336ac76b07e0fdc5a11d7eef5cf8941d73cea862d8aea8b8bbf0f9c231c84460192994926bf0d4201415cde69d1e9440336b4f0ed8044e473d2=w1080; 14_06_2025\plus.unsplash.com\premium_photo-1661320872387-6f7641dca99dc2b9.jpg; 14_06_2025\plus.unsplash.com\premium_photo-1661587820225-c94b5aa2cc27a6dc.jpg; 14_06_2025\promarketspot.com\account\nft-images\1D03CA7C-BD60-4067-BAC4-C24EDEDBDFE7-1-300x300.png; 14_06_2025\vasttradenetwork.com\uploads\testimonies\thumb\d88e8329605525c2ceb33280e65020b9.jpg; 14_06_2025\www.youtube.com\howyoutubeworks\static\compiled\css\ai.index.minc2e6.css
callback,0,
callback_url,0,
cardholder,0,
ccv,0,
cease and desist,0,
ceo,0,
charCodeAt,0,
chargeback,0,
class action,0,
client_id,0,
cloudflare,15,14_06_2025\cdnjs.cloudflare.com; 14_06_2025\apexglobalfxworld.com\cdn-cgi\scripts\5c5dd728\cloudflare-static; 14_06_2025\aspirebitwealth.com\cdn-cgi\scripts\5c5dd728\cloudflare-static; 14_06_2025\astridglobalinvestment.com\cdn-cgi\scripts\5c5dd728\cloudflare-static; 14_06_2025\certifiedtrade.net\cdn-cgi\scripts\5c5dd728\cloudflare-static; 14_06_2025\copyvestpro.com\cdn-cgi\scripts\5c5dd728\cloudflare-static; 14_06_2025\eliteminerproinvestment.com\cdn-cgi\scripts\5c5dd728\cloudflare-static; 14_06_2025\forbescapitaltrade.com\cdn-cgi\scripts\5c5dd728\cloudflare-static; 14_06_2025\globalproinvestment.com\cdn-cgi\scripts\5c5dd728\cloudflare-static; 14_06_2025\horizonprofitchasers.com\cdn-cgi\scripts\5c5dd728\cloudflare-static; 14_06_2025\horizonxprexbs.com\cdn-cgi\scripts\5c5dd728\cloudflare-static; 14_06_2025\pinnaclesassetmanagement.com\cdn-cgi\scripts\5c5dd728\cloudflare-static; 14_06_2025\premiumcryptolite.com\cdn-cgi\scripts\5c5dd728\cloudflare-static; 14_06_2025\promarketspot.com\cdn-cgi\scripts\5c5dd728\cloudflare-static; 14_06_2025\vasttradenetwork.com\cdnjs.cloudflare.com
cmd,0,
cmd.exe,0,
command and control,0,
company address,0,
company registration,0,
complaint,0,
confidential,0,
config,0,
config.php,0,
contact,50,14_06_2025\apexglobalfxworld.com\contact.html; 14_06_2025\apexglobalfxworld.com\account\en\contact.html; 14_06_2025\apexglobalfxworld.com\account\en\assets\images\all-img\contact; 14_06_2025\apexglobalfxworld.com\en\contact.html; 14_06_2025\aspirebitwealth.com\contact.html; 14_06_2025\aspirebitwealth.com\account\en\contact.html; 14_06_2025\aspirebitwealth.com\account\en\assets\images\all-img\contact; 14_06_2025\aspirebitwealth.com\en\contact.html; 14_06_2025\astridglobalinvestment.com\contact.html; 14_06_2025\astridglobalinvestment.com\en\contact.html; 14_06_2025\atstradingserviceltd.com\contact; 14_06_2025\atstradingserviceltd.com\contact-us; 14_06_2025\avada.theme-fusion.com\electrician\wp-content\uploads\sites\101\2018\02\contact.html; 14_06_2025\caddingtonlimited.com\contact-us; 14_06_2025\caddingtonlimited.com\wp-content\plugins\contact-form-7; 14_06_2025\certifiedtrade.net\contact.html; 14_06_2025\certifiedtrade.net\en\contact.html; 14_06_2025\copyvestpro.com\contact.html; 14_06_2025\copyvestpro.com\account\en\contact.html; 14_06_2025\copyvestpro.com\account\en\assets\images\all-img\contact; 14_06_2025\copyvestpro.com\en\contact.html; 14_06_2025\eliteminerproinvestment.com\contact.html; 14_06_2025\eliteminerproinvestment.com\account\en\contact.html; 14_06_2025\eliteminerproinvestment.com\account\en\assets\images\all-img\contact; 14_06_2025\eliteminerproinvestment.com\en\contact.html; 14_06_2025\forbescapitaltrade.com\contact.html; 14_06_2025\forbescapitaltrade.com\account\en\contact.html; 14_06_2025\forbescapitaltrade.com\account\en\assets\images\all-img\contact; 14_06_2025\forbescapitaltrade.com\en\contact.html; 14_06_2025\globalproinvestment.com\contact.html; 14_06_2025\globalproinvestment.com\en\contact.html; 14_06_2025\horizonprofitchasers.com\contact.html; 14_06_2025\horizonprofitchasers.com\account\en\contact.html; 14_06_2025\horizonprofitchasers.com\account\en\assets\images\all-img\contact; 14_06_2025\horizonprofitchasers.com\en\contact.html; 14_06_2025\horizonxprexbs.com\contact.html; 14_06_2025\horizonxprexbs.com\account\en\contact.html; 14_06_2025\horizonxprexbs.com\account\en\assets\images\all-img\contact; 14_06_2025\horizonxprexbs.com\en\contact.html; 14_06_2025\pinnaclesassetmanagement.com\en\contact.html; 14_06_2025\premiumcryptolite.com\contact.html; 14_06_2025\premiumcryptolite.com\en\contact.html; 14_06_2025\promarketspot.com\contact.html; 14_06_2025\promarketspot.com\account\contact.html; 14_06_2025\promarketspot.com\account\assets\img\contact; 14_06_2025\promarketspot.com\account\public\page\contact-us.html; 14_06_2025\promarketspot.com\en\contact.html; 14_06_2025\tp-tasklimited.com\contact.html; 14_06_2025\vasttradenetwork.com\contact.html; 14_06_2025\www.youtube.com\t\contact_us
contact us,0,
contact:,0,
country of incorporation,0,
cpanel,0,
cred=,0,
credentials,0,
credentials.txt,0,
credit card,0,
crypto-miner,0,
cryptojacker,0,
curl_exec(,0,
cvv,0,
daemon,0,
dashboard,7,14_06_2025\apexglobalfxworld.com\account\dashboard; 14_06_2025\copyvestpro.com\account\dashboard; 14_06_2025\eliteminerproinvestment.com\account\dashboard; 14_06_2025\pinnaclesassetmanagement.com\dashboard; 14_06_2025\promarketspot.com\account\dashboard; 14_06_2025\promarketspot.com\account\assets\dashboard.css; 14_06_2025\promarketspot.com\account\assets\dashboard.js
database,1,14_06_2025\promarketspot.com\account\database
date of birth,0,
